Date,Bullish,Neutral,Bearish,Spread,Spread_MA20,SP500_Price_x,SP500_Price_y,SP500_Price
2020-08-20,30.3887,27.2085,42.4028,-12.0141,-17.169685,3385.510009765625,3385.510009765625,3385.510009765625
2020-08-27,32.0755,28.301900000000003,39.622600000000006,-7.547100000000007,-17.14358,3484.550048828125,3484.550048828125,3484.550048828125
2020-09-03,30.8017,27.4262,41.7722,-10.9705,-17.297705,3455.06005859375,3455.06005859375,3455.06005859375
2020-09-10,23.7113,27.8351,48.4536,-24.742300000000004,-17.27799,3339.18994140625,3339.18994140625,3339.18994140625
2020-09-17,32.0197,27.5862,40.3941,-8.374400000000001,-17.025065,3357.010009765625,3357.010009765625,3357.010009765625
2020-09-24,24.8945,29.1139,45.9916,-21.0971,-16.630215,3246.590087890625,3246.590087890625,3246.590087890625
2020-10-01,26.2376,30.6931,43.0693,-16.831699999999998,-16.10677,3380.800048828125,3380.800048828125,3380.800048828125
2020-10-08,34.7418,26.2911,38.9671,-4.225300000000004,-15.517170000000002,3446.830078125,3446.830078125,3446.830078125
2020-10-15,34.7826,29.4686,35.7488,-0.9661999999999936,-15.112724999999998,3483.340087890625,3483.340087890625,3483.340087890625
2020-10-22,35.7466,31.2217,33.0317,2.7149,-14.761034999999998,3453.489990234375,3453.489990234375,3453.489990234375
2020-10-29,35.2941,29.4118,35.2941,0.0,-14.572354999999998,3310.110107421875,3310.110107421875,3310.110107421875
2020-11-05,37.963,30.5556,31.4815,6.4815000000000005,-13.077395000000001,3510.449951171875,3510.449951171875,3510.449951171875
2020-11-12,55.8376,19.2893,24.8731,30.9645,-10.290924999999998,3537.010009765625,3537.010009765625,3537.010009765625
2020-11-19,44.3515,29.2887,26.3598,17.9917,-8.20463,3581.8701171875,3581.8701171875,3581.8701171875
2020-11-27,47.2527,25.2747,27.4725,19.7802,-6.43976,3638.35009765625,3638.35009765625,3638.35009765625
2020-12-03,49.0706,28.2528,22.6766,26.394,-4.39319,3666.719970703125,3666.719970703125,3666.719970703125
2020-12-10,48.0565,25.088300000000004,26.8551,21.2014,-2.2943849999999997,3668.10009765625,3668.10009765625,3668.10009765625
2020-12-17,43.4263,30.2789,26.2948,17.131499999999996,-0.025594999999999857,3722.47998046875,3722.47998046875,3722.47998046875
2020-12-24,43.5685,34.4398,21.9917,21.5768,2.2689950000000003,3703.06005859375,3703.06005859375,3703.06005859375
2020-12-31,46.0784,27.1242,26.7974,19.281,3.8374399999999995,3756.070068359375,3756.070068359375,3756.070068359375
2021-01-07,45.190000000000005,23.08,31.730000000000004,13.46,5.111145,3803.7900390625,3803.7900390625,3803.7900390625
2021-01-21,42.5466,22.9814,34.472,8.074599999999997,5.89223,3853.070068359375,3853.070068359375,3853.070068359375
2021-01-28,37.6623,24.026,38.3117,-0.6494,6.408285000000001,3787.3798828125,3787.3798828125,3787.3798828125
2021-02-04,37.3529,27.0588,35.5882,1.7646999999999975,7.733635,3871.739990234375,3871.739990234375,3871.739990234375
2021-02-11,45.4545,28.2828,26.262600000000003,19.1919,9.11195,3916.3798828125,3916.3798828125,3916.3798828125
2021-02-18,47.0588,27.5542,25.387,21.6718,11.250395000000001,3913.969970703125,3913.969970703125,3913.969970703125
2021-02-25,45.9283,30.2932,23.7785,22.1498,13.19947,3829.340087890625,3829.340087890625,3829.340087890625
2021-03-04,40.2597,34.415600000000005,25.3247,14.934999999999995,14.157485,3768.469970703125,3768.469970703125,3768.469970703125
2021-03-11,49.4118,27.0588,23.5294,25.8824,15.499915000000001,3939.340087890625,3939.340087890625,3939.340087890625
2021-03-18,48.9437,27.4648,23.5915,25.3522,16.63178,3915.4599609375,3915.4599609375,3915.4599609375
2021-03-25,50.9494,28.481,20.5696,30.3798,18.150769999999998,3909.52001953125,3909.52001953125,3909.52001953125
2021-04-01,45.8333,30.9524,23.2143,22.619000000000003,18.957645,4019.8701171875,4019.8701171875,4019.8701171875
